date,year,month_num,month,inflation_type,source_type,value
1994-01-01,1994,1,январь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,117.9
1994-02-01,1994,2,февраль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,110.6
1994-02-01,1994,2,февраль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,108.92
1994-02-01,1994,2,февраль,services,Индексы потребительских цен на услуги по Российской Федерации,121.52
1994-02-01,1994,2,февраль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,110.82
1994-03-01,1994,3,март,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,105.8
1994-03-01,1994,3,март,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,107.7
1994-03-01,1994,3,март,services,Индексы потребительских цен на услуги по Российской Федерации,116.82
1994-03-01,1994,3,март,total,Индексы потребительских цен на товары и услуги по Российской Федерации,107.41
1994-04-01,1994,4,апрель,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,105.6
1994-04-01,1994,4,апрель,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,107.22
1994-04-01,1994,4,апрель,services,Индексы потребительских цен на услуги по Российской Федерации,131.82
1994-04-01,1994,4,апрель,total,Индексы потребительских цен на товары и услуги по Российской Федерации,108.49
1994-05-01,1994,5,май,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,106.8
1994-05-01,1994,5,май,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.45
1994-05-01,1994,5,май,services,Индексы потребительских цен на услуги по Российской Федерации,112.72
1994-05-01,1994,5,май,total,Индексы потребительских цен на товары и услуги по Российской Федерации,106.91
1994-06-01,1994,6,июнь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,105.6
1994-06-01,1994,6,июнь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.0
1994-06-01,1994,6,июнь,services,Индексы потребительских цен на услуги по Российской Федерации,111.41
1994-06-01,1994,6,июнь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,106.0
1994-07-01,1994,7,июль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,103.8
